calls , comp , rascal-compil , 0 , 25.14 , 10076 , 1904
calls , exec , rascal-compil , 0 , 2.50 , 10076 , 1816
check1 , comp-exec , rascal-interp , 0 , 4.51 , 10076 , 1876
check1 , comp , rascal-compil , 0 , 23.44 , 10076 , 1820
check1 , exec , rascal-compil , 0 , 2.41 , 10076 , 1748
check2 , comp-exec , rascal-interp , 0 , 4.51 , 10076 , 1756
check2 , comp , rascal-compil , 0 , 23.24 , 10076 , 1924
check2 , exec , rascal-compil , 0 , 2.50 , 10076 , 1752
confluence , comp-exec , rascal-interp , 0 , 4.41 , 10076 , 1752
confluence , comp , rascal-compil , 0 , 21.74 , 10076 , 1752
confluence , exec , rascal-compil , 0 , 2.40 , 10076 , 1764
empty , comp-exec , rascal-interp , 0 , 4.41 , 10076 , 1756
empty , comp , rascal-compil , 0 , 24.04 , 10076 , 1756
empty , exec , rascal-compil , 0 , 2.40 , 10076 , 1916
fibonacci05 , comp-exec , rascal-interp , 0 , 4.31 , 10076 , 1872
fibonacci05 , comp , rascal-compil , 0 , 22.73 , 10076 , 1816
fibonacci05 , exec , rascal-compil , 0 , 2.50 , 10076 , 1764
garbagecollection , comp-exec , rascal-interp , 0 , 4.21 , 10076 , 1912
garbagecollection , comp , rascal-compil , 0 , 23.83 , 10076 , 1876
garbagecollection , exec , rascal-compil , 0 , 2.50 , 10076 , 1932
hanoi4 , comp-exec , rascal-interp , 0 , 4.61 , 10076 , 1748
hanoi4 , comp , rascal-compil , 0 , 24.14 , 10076 , 1836
hanoi4 , exec , rascal-compil , 0 , 2.50 , 10076 , 1752
oddeven , comp-exec , rascal-interp , 0 , 30.34 , 10076 , 1756
oddeven , comp , rascal-compil , 0 , 22.83 , 10076 , 1900
oddeven , exec , rascal-compil , 0 , 3.00 , 10076 , 1936
order , comp-exec , rascal-interp , 0 , 4.51 , 10076 , 1756
order , comp , rascal-compil , 0 , 22.64 , 10076 , 1912
order , exec , rascal-compil , 0 , 2.40 , 10076 , 1752
revelt , comp-exec , rascal-interp , 0 , 4.21 , 10076 , 1860
revelt , comp , rascal-compil , 0 , 23.74 , 10076 , 1820
revelt , exec , rascal-compil , 0 , 2.40 , 10076 , 1864
searchinconditions , comp-exec , rascal-interp , 0 , 4.41 , 10076 , 1792
searchinconditions , comp , rascal-compil , 0 , 21.63 , 10076 , 1932
searchinconditions , exec , rascal-compil , 0 , 2.50 , 10076 , 1920
soundnessofparallelengines , comp-exec , rascal-interp , 0 , 4.51 , 10076 , 1816
soundnessofparallelengines , comp , rascal-compil , 0 , 22.44 , 10076 , 1860
soundnessofparallelengines , exec , rascal-compil , 0 , 2.50 , 10076 , 1904
tautologyhard , comp-exec , rascal-interp , 0 , 5.41 , 10076 , 1940
tautologyhard , comp , rascal-compil , 0 , 26.65 , 10076 , 1816
tautologyhard , exec , rascal-compil , 0 , 2.71 , 10076 , 1756
tricky , comp-exec , rascal-interp , 0 , 4.61 , 10076 , 1756
tricky , comp , rascal-compil , 0 , 22.53 , 10076 , 1752
tricky , exec , rascal-compil , 0 , 2.40 , 10076 , 1792
calls , comp , scala , 0 , 11.11 , 10076 , 1872
calls , exec , scala , 0 , 0.50 , 10076 , 1936
check1 , comp , scala , 0 , 6.71 , 10076 , 1936
check1 , exec , scala , 0 , 0.50 , 10076 , 1912
check2 , comp , scala , 0 , 7.61 , 10076 , 1756
check2 , exec , scala , 0 , 0.50 , 10076 , 1904
confluence , comp , scala , 0 , 6.82 , 10076 , 1940
confluence , exec , scala , 0 , 0.50 , 10076 , 1752
empty , comp , scala , 0 , 6.42 , 10076 , 1792
empty , exec , scala , 0 , 0.60 , 10076 , 1936
fibonacci05 , comp , scala , 0 , 7.71 , 10076 , 1820
fibonacci05 , exec , scala , 0 , 0.50 , 10076 , 1876
garbagecollection , comp , scala , 0 , 10.12 , 10076 , 1816
garbagecollection , exec , scala , 0 , 0.50 , 10076 , 1872
hanoi4 , comp , scala , 0 , 12.72 , 10076 , 1864
hanoi4 , exec , scala , 0 , 0.50 , 10076 , 1756
oddeven , comp , scala , 0 , 7.51 , 10076 , 1936
oddeven , exec , scala , 0 , 0.60 , 10076 , 1788
order , comp , scala , 0 , 6.61 , 10076 , 1940
order , exec , scala , 0 , 0.50 , 10076 , 1912
revelt , comp , scala , 0 , 8.71 , 10076 , 1916
revelt , exec , scala , 0 , 0.51 , 10076 , 1788
searchinconditions , comp , scala , 0 , 6.42 , 10076 , 1932
searchinconditions , exec , scala , 0 , 0.50 , 10076 , 1756
soundnessofparallelengines , comp , scala , 0 , 7.41 , 10076 , 1936
soundnessofparallelengines , exec , scala , 0 , 0.50 , 10076 , 1756
tautologyhard , comp , scala , 0 , 8.32 , 10076 , 1748
tautologyhard , exec , scala , 0 , 0.50 , 10076 , 1916
tricky , comp , scala , 0 , 7.61 , 10076 , 1924
tricky , exec , scala , 0 , 0.50 , 10076 , 1932
calls , comp-exec , sml-smlnj , 0 , 0.60 , 10076 , 1752
calls , comp , sml-mlton , 0 , 11.51 , 10076 , 1916
calls , exec , sml-mlton , 0 , 0.10 , 4080 , 84
check1 , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1912
check1 , comp , sml-mlton , 0 , 9.51 , 10076 , 1916
check1 , exec , sml-mlton , 0 , 0.10 , 4080 , 80
check2 , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1752
check2 , comp , sml-mlton , 0 , 9.61 , 10076 , 1900
check2 , exec , sml-mlton , 0 , 0.10 , 4080 , 84
confluence , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1872
confluence , comp , sml-mlton , 0 , 9.51 , 10076 , 1820
confluence , exec , sml-mlton , 0 , 0.10 , 4080 , 84
empty , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1912
empty , comp , sml-mlton , 0 , 9.41 , 10076 , 1872
empty , exec , sml-mlton , 0 , 0.10 , 4080 , 80
fibonacci05 , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1912
fibonacci05 , comp , sml-mlton , 0 , 9.51 , 10076 , 1912
fibonacci05 , exec , sml-mlton , 0 , 0.10 , 4080 , 80
garbagecollection , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1912
garbagecollection , comp , sml-mlton , 0 , 9.71 , 10076 , 1932
garbagecollection , exec , sml-mlton , 0 , 0.10 , 4080 , 84
hanoi4 , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1904
hanoi4 , comp , sml-mlton , 0 , 9.61 , 10076 , 1752
