confluence , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1876
confluence , comp , sml-mlton , 0 , 6.21 , 3924 , 1736
confluence , exec , sml-mlton , 0 , 0.10 , 2020 , 56
empty , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1608
empty , comp , sml-mlton , 0 , 6.21 , 3924 , 1744
empty , exec , sml-mlton , 0 , 0.10 , 2020 , 56
fibonacci05 , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1736
fibonacci05 , comp , sml-mlton , 0 , 6.21 , 3924 , 1760
fibonacci05 , exec , sml-mlton , 0 , 0.10 , 2020 , 56
garbagecollection , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1612
garbagecollection , comp , sml-mlton , 0 , 6.41 , 3924 , 1784
garbagecollection , exec , sml-mlton , 0 , 0.10 , 2020 , 56
hanoi4 , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1760
hanoi4 , comp , sml-mlton , 0 , 6.31 , 3924 , 1728
hanoi4 , exec , sml-mlton , 0 , 0.10 , 2020 , 56
oddeven , comp-exec , sml-smlnj , 0 , 0.30 , 3924 , 1736
oddeven , comp , sml-mlton , 0 , 6.21 , 3924 , 1788
oddeven , exec , sml-mlton , 0 , 0.10 , 2020 , 56
order , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1780
order , comp , sml-mlton , 0 , 6.31 , 3924 , 1792
order , exec , sml-mlton , 0 , 0.10 , 2020 , 60
revelt , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1792
revelt , comp , sml-mlton , 0 , 6.21 , 3924 , 1728
revelt , exec , sml-mlton , 0 , 0.10 , 2020 , 56
searchinconditions , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1780
searchinconditions , comp , sml-mlton , 0 , 6.21 , 3924 , 1608
searchinconditions , exec , sml-mlton , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1736
soundnessofparallelengines , comp , sml-mlton , 0 , 6.41 , 3924 , 1784
soundnessofparallelengines , exec , sml-mlton , 0 , 0.10 , 2020 , 56
tautologyhard , comp-exec , sml-smlnj , 0 , 0.40 , 3924 , 1880
tautologyhard , comp , sml-mlton , 0 , 6.32 , 3924 , 1840
tautologyhard , exec , sml-mlton , 0 , 0.10 , 2020 , 56
tricky , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1840
tricky , comp , sml-mlton , 0 , 6.30 , 3924 , 1784
tricky , exec , sml-mlton , 0 , 0.10 , 2020 , 56
calls , comp-exec , stratego , 0 , 9.02 , 3924 , 1760
check1 , comp-exec , stratego , 0 , 7.81 , 3924 , 1780
check2 , comp-exec , stratego , 0 , 9.11 , 3924 , 1796
confluence , comp-exec , stratego , 0 , 8.61 , 3924 , 1744
empty , comp-exec , stratego , 0 , 7.91 , 3924 , 1836
fibonacci05 , comp-exec , stratego , 0 , 9.21 , 3924 , 1792
garbagecollection , comp-exec , stratego , 0 , 9.82 , 3924 , 1740
hanoi4 , comp-exec , stratego , 0 , 10.61 , 3924 , 1760
oddeven , comp-exec , stratego , 0 , 9.51 , 3924 , 1748
order , comp-exec , stratego , 0 , 9.02 , 3924 , 1736
revelt , comp-exec , stratego , 0 , 9.23 , 3924 , 1736
