bubblesort10 , comp-exec , lotos , 0 , 0.70 , 3924 , 1732
bubblesort20 , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
bubblesort100 , comp-exec , lotos , 0 , 0.70 , 3924 , 1728
bubblesort720 , comp-exec , lotos , 0 , 1.00 , 3924 , 1776
bubblesort1000 , comp-exec , lotos , 0 , 1.60 , 3924 , 1776
closure , comp-exec , lotos , 0 , 1.80 , 3924 , 1868
dart , comp-exec , lotos , 0 , 0.70 , 3924 , 1780
evalexpr , comp-exec , lotos , 0 , 1.50 , 3924 , 1552
evalsym , comp-exec , lotos , 0 , 25.62 , 3924 , 1728
evaltree , comp-exec , lotos , 0 , 1.80 , 3924 , 1828
factorial5 , comp-exec , lotos , 0 , 0.60 , 3924 , 1600
factorial6 , comp-exec , lotos , 0 , 0.60 , 3924 , 1776
factorial7 , comp-exec , lotos , 0 , 0.60 , 3924 , 1824
factorial8 , comp-exec , lotos , 0 , 0.60 , 3924 , 1828
factorial9 , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
fib32 , comp-exec , lotos , 0 , 3.50 , 3924 , 1768
fibfree , comp-exec , lotos , 0 , 1.30 , 3924 , 1788
fibonacci18 , comp-exec , lotos , 0 , 0.70 , 3924 , 1748
fibonacci19 , comp-exec , lotos , 0 , 0.60 , 3924 , 1736
fibonacci20 , comp-exec , lotos , 0 , 0.70 , 3924 , 1688
fibonacci21 , comp-exec , lotos , 0 , 0.70 , 3924 , 1772
hanoi8 , comp-exec , lotos , 0 , 0.70 , 3924 , 1748
hanoi12 , comp-exec , lotos , 0 , 0.70 , 3924 , 1780
hanoi16 , comp-exec , lotos , 0 , 0.90 , 3924 , 1768
hanoi20 , comp-exec , lotos , 139 , 5.51 , 3924 , 1872
intnat , comp-exec , lotos , 0 , 8.81 , 3924 , 1664
langton6 , comp-exec , lotos , 0 , 34.23 , 3924 , 1788
langton7 , comp-exec , lotos , 0 , 48.16 , 3924 , 1736
logic3 , comp-exec , lotos , 0 , 0.70 , 3924 , 1664
maa , comp-exec , lotos , 0 , 7.71 , 3924 , 1776
merge , comp-exec , lotos , 0 , 0.80 , 3924 , 1788
mergesort10 , comp-exec , lotos , 0 , 0.70 , 3924 , 1792
mergesort100 , comp-exec , lotos , 1 , 27.04 , 3924 , 1716
mergesort1000 , comp-exec , lotos , 1 , 27.12 , 3924 , 1596
missionaries2 , comp-exec , lotos , 0 , 0.90 , 3924 , 1596
missionaries3 , comp-exec , lotos , 0 , 0.90 , 3924 , 1716
mul8 , comp-exec , lotos , 0 , 22.52 , 3924 , 1768
mul16 , comp-exec , lotos , 0 , 38.03 , 3924 , 1748
mul32 , comp-exec , lotos , 0 , 62.06 , 3924 , 1596
natlist , comp-exec , lotos , 0 , 0.80 , 3924 , 1792
omul8 , comp-exec , lotos , 0 , 22.63 , 3924 , 1868
omul32 , comp-exec , lotos , 0 , 62.17 , 3924 , 1764
permutations6 , comp-exec , lotos , 0 , 0.70 , 3924 , 1784
permutations7 , comp-exec , lotos , 0 , 1.00 , 3924 , 1792
quicksort10 , comp-exec , lotos , 0 , 0.70 , 3924 , 1788
quicksort100 , comp-exec , lotos , 1 , 34.43 , 3924 , 1764
quicksort1000 , comp-exec , lotos , 1 , 34.53 , 3924 , 1868
revnat100 , comp-exec , lotos , 0 , 0.70 , 3924 , 1828
revnat1000 , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
revnat10000 , comp-exec , lotos , 0 , 7.21 , 3924 , 1736
sieve20 , comp-exec , lotos , 0 , 0.70 , 3924 , 1748
sieve100 , comp-exec , lotos , 0 , 0.80 , 3924 , 1824
sieve1000 , comp-exec , lotos , 0 , 0.90 , 3924 , 1752
sieve2000 , comp-exec , lotos , 0 , 1.70 , 3924 , 1768
sieve10000 , comp-exec , lotos , 0 , 153.22 , 3924 , 1596
tak18 , comp-exec , lotos , 0 , 0.70 , 3924 , 1736
tak36 , comp-exec , lotos , 0 , 1.40 , 3924 , 1764
add8 , comp-exec , maude , 0 , 2.10 , 3924 , 1776
add16 , comp-exec , maude , 0 , 1.80 , 3924 , 1764
add32 , comp-exec , maude , 0 , 3.00 , 3924 , 1748
benchexpr10 , comp-exec , maude , 0 , 0.10 , 2020 , 52
benchexpr20 , comp-exec , maude , 0 , 7.11 , 3924 , 1776
benchexpr22 , comp-exec , maude , 0 , 27.93 , 3924 , 1716
benchsym10 , comp-exec , maude , 0 , 0.10 , 2020 , 52
benchsym20 , comp-exec , maude , 0 , 5.22 , 3924 , 1716
benchsym22 , comp-exec , maude , 0 , 20.54 , 3924 , 1716
benchtree10 , comp-exec , maude , 0 , 0.20 , 3924 , 1868
benchtree20 , comp-exec , maude , 0 , 15.41 , 3924 , 1764
benchtree22 , comp-exec , maude , kill-6 , 48.27 , 3924 , 1776
binarysearch , comp-exec , maude , 0 , 108.57 , 3924 , 1784
bubblesort10 , comp-exec , maude , 0 , 0.10 , 2020 , 48
