fibonacci18 , comp-exec , lotos , 0 , 0.70 , 10076 , 1768
fibonacci19 , comp-exec , lotos , 0 , 0.70 , 10076 , 1772
fibonacci20 , comp-exec , lotos , 0 , 0.70 , 10076 , 1784
fibonacci21 , comp-exec , lotos , 0 , 0.70 , 10076 , 1752
hanoi4 , comp-exec , lotos , 0 , 0.70 , 10076 , 1812
langton6 , comp-exec , lotos , 0 , 40.14 , 10076 , 1816
langton7 , comp-exec , lotos , 0 , 57.66 , 10076 , 1712
logic3 , comp-exec , lotos , 0 , 0.70 , 10076 , 1824
merge , comp-exec , lotos , 0 , 0.80 , 10076 , 1824
mergesort10 , comp-exec , lotos , 0 , 0.70 , 10076 , 1876
mergesort100 , comp-exec , lotos , timeout , 142.09 , 10076 , 1840
mergesort1000 , comp-exec , lotos , timeout , 142.33 , 10076 , 1608
missionaries2 , comp-exec , lotos , 0 , 3.10 , 10076 , 1696
missionaries3 , comp-exec , lotos , 0 , 0.90 , 10076 , 1712
permutations6 , comp-exec , lotos , 0 , 0.80 , 10076 , 1744
permutations7 , comp-exec , lotos , 0 , 1.10 , 10076 , 1760
quicksort10 , comp-exec , lotos , 0 , 0.70 , 10076 , 1744
quicksort100 , comp-exec , lotos , timeout , 142.89 , 10076 , 1804
quicksort1000 , comp-exec , lotos , timeout , 142.53 , 10076 , 1728
revnat100 , comp-exec , lotos , 0 , 3.20 , 10076 , 1692
revnat1000 , comp-exec , lotos , 0 , 0.80 , 10076 , 1900
revnat10000 , comp-exec , lotos , 0 , 7.11 , 10076 , 1884
sieve20 , comp-exec , lotos , 0 , 0.80 , 10076 , 1776
sieve100 , comp-exec , lotos , 0 , 0.80 , 10076 , 1732
sieve1000 , comp-exec , lotos , 0 , 0.90 , 10076 , 1800
sieve2000 , comp-exec , lotos , 0 , 1.20 , 10076 , 1732
sieve10000 , comp-exec , lotos , 0 , 73.45 , 10076 , 1904
tak18 , comp-exec , lotos , 0 , 0.40 , 10076 , 1796
tak36 , comp-exec , lotos , 0 , 1.30 , 10076 , 1900
benchexpr10 , comp-exec , maude , 0 , 0.40 , 10076 , 1912
benchexpr20 , comp-exec , maude , 0 , 8.61 , 10076 , 1848
benchexpr22 , comp-exec , maude , 0 , 34.13 , 10076 , 1736
benchsym10 , comp-exec , maude , 0 , 0.10 , 4080 , 80
benchsym20 , comp-exec , maude , 0 , 4.40 , 10076 , 1852
benchsym22 , comp-exec , maude , 0 , 17.31 , 10076 , 1796
benchtree10 , comp-exec , maude , 0 , 0.20 , 10076 , 1892
benchtree20 , comp-exec , maude , 0 , 21.33 , 10076 , 1884
benchtree22 , comp-exec , maude , 0 , 85.50 , 10076 , 1728
binarysearch , comp-exec , maude , 1 , 73.87 , 10076 , 1888
bubblesort10 , comp-exec , maude , 0 , 0.10 , 4080 , 76
bubblesort20 , comp-exec , maude , 0 , 0.10 , 4080 , 80
bubblesort100 , comp-exec , maude , 0 , 0.20 , 10076 , 1776
bubblesort720 , comp-exec , maude , 0 , 6.21 , 10076 , 1852
bubblesort1000 , comp-exec , maude , 0 , 16.11 , 10076 , 1740
dart , comp-exec , maude , 0 , 0.20 , 10076 , 1908
evalexpr , comp-exec , maude , 0 , 18.32 , 10076 , 1896
evalsym , comp-exec , maude , timeout , 140.09 , 10076 , 1908
evaltree , comp-exec , maude , 0 , 56.96 , 10076 , 1844
factorial5 , comp-exec , maude , 0 , 0.10 , 4080 , 76
factorial6 , comp-exec , maude , 0 , 0.10 , 4080 , 76
factorial7 , comp-exec , maude , 0 , 0.10 , 4080 , 80
factorial8 , comp-exec , maude , 1 , 0.20 , 10076 , 1912
