fibonacci20 , exec , mcrl2-jittyc , 9.41 , 15228 , 10972
fibonacci21 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci21 , exec , mcrl2 , 0.30 , 21256 , 16712
fibonacci21 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fibonacci21 , exec , mcrl2-jittyc , 9.41 , 14956 , 10744
hanoi4 , comp , mcrl2 , 0.10 , 2020 , 56
hanoi4 , exec , mcrl2 , 0.10 , 2020 , 56
hanoi4 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
hanoi4 , exec , mcrl2-jittyc , 12.12 , 14408 , 10148
langton6 , comp , mcrl2 , 0.20 , 15232 , 9224
langton6 , exec , mcrl2 , failed with exit status 1
langton6 , comp , mcrl2-jittyc , 0.20 , 15628 , 10112
langton6 , exec , mcrl2-jittyc , failed with exit status 1
langton7 , comp , mcrl2 , 0.20 , 15100 , 9388
langton7 , exec , mcrl2 , failed with exit status 1
langton7 , comp , mcrl2-jittyc , 0.20 , 15628 , 11484
langton7 , exec , mcrl2-jittyc , failed with exit status 1
logic3 , comp , mcrl2 , 0.10 , 2020 , 52
logic3 , exec , mcrl2 , 0.10 , 2020 , 56
logic3 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
logic3 , exec , mcrl2-jittyc , 10.22 , 14308 , 9896
merge , comp , mcrl2 , 0.20 , 13224 , 9812
merge , exec , mcrl2 , 0.10 , 2020 , 52
merge , comp , mcrl2-jittyc , 0.10 , 2020 , 52
merge , exec , mcrl2-jittyc , 11.63 , 14364 , 9884
mergesort1000 , comp , mcrl2 , 0.21 , 12692 , 8452
mergesort1000 , exec , mcrl2 , timed out after 2500
mergesort1000 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
mergesort1000 , exec , mcrl2-jittyc , timed out after 2500
mergesort100 , comp , mcrl2 , 0.10 , 2020 , 52
mergesort100 , exec , mcrl2 , timed out after 2500
mergesort100 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
mergesort100 , exec , mcrl2-jittyc , timed out after 2500
mergesort10 , comp , mcrl2 , 0.10 , 2020 , 56
mergesort10 , exec , mcrl2 , 0.10 , 2020 , 52
mergesort10 , comp , mcrl2-jittyc , 0.20 , 12760 , 9632
mergesort10 , exec , mcrl2-jittyc , 12.71 , 14404 , 10148
missionaries2 , comp , mcrl2 , 0.20 , 13224 , 9708
missionaries2 , exec , mcrl2 , 0.20 , 14408 , 9920
missionaries2 , comp , mcrl2-jittyc , 0.20 , 13224 , 9540
missionaries2 , exec , mcrl2-jittyc , 19.42 , 15004 , 10476
missionaries3 , comp , mcrl2 , 0.20 , 13224 , 9684
missionaries3 , exec , mcrl2 , 0.20 , 14452 , 9744
missionaries3 , comp , mcrl2-jittyc , 0.20 , 13224 , 9596
missionaries3 , exec , mcrl2-jittyc , 19.52 , 14756 , 10412
permutations6 , comp , mcrl2 , 0.20 , 12832 , 9628
permutations6 , exec , mcrl2 , 0.70 , 16064 , 11496
permutations6 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
permutations6 , exec , mcrl2-jittyc , 12.23 , 14932 , 10616
permutations7 , comp , mcrl2 , 0.20 , 12680 , 9116
permutations7 , exec , mcrl2 , failed with exit status 1
permutations7 , comp , mcrl2-jittyc , 0.20 , 12680 , 9100
permutations7 , exec , mcrl2-jittyc , 14.82 , 18120 , 13900
quicksort1000 , comp , mcrl2 , 0.10 , 2020 , 52
quicksort1000 , exec , mcrl2 , timed out after 2500
quicksort1000 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
