asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
dart , comp-exec , rascal , 9.92 , 1594280 , 372488
evalexpr , comp-exec , rascal , failed with exit status 1
evalsym , comp-exec , rascal , timed out after 2500
evaltree , comp-exec , rascal , 664.19 , 1562288 , 601892
factorial6 , comp-exec , rascal , 4.22 , 1563280 , 121724
factorial7 , comp-exec , rascal , 4.71 , 1561704 , 139572
factorial8 , comp-exec , rascal , 6.01 , 1562192 , 151688
factorial9 , comp-exec , rascal , failed with exit status 1
fib32 , comp-exec , rascal , failed with exit status 1
fibfree , comp-exec , rascal , 6.21 , 1562020 , 213704
fibonacci , comp-exec , rascal , failed with exit status 1
garbagecollection , comp-exec , rascal , 4.30 , 1563880 , 129588
hanoi , comp-exec , rascal , 4.21 , 1562388 , 126572
langton , comp-exec , rascal , timed out after 2500
logic3 , comp-exec , rascal , 4.51 , 1561688 , 141104
merge , comp-exec , rascal , 4.91 , 1564860 , 141980
mergesort , comp-exec , rascal , timed out after 2500
missionariescannibals , comp-exec , rascal , failed with exit status 1
oddeven , comp-exec , rascal , 29.64 , 1565976 , 405072
permutations , comp-exec , rascal , failed with exit status 1
quicksort , comp-exec , rascal , timed out after 2500
revelt , comp-exec , rascal , 4.21 , 1561120 , 114384
revnat , comp-exec , rascal , 550.43 , 1565828 , 1092040
sieve , comp-exec , rascal , failed with exit status 1
tak , comp-exec , rascal , 20.83 , 1568164 , 407644
tautologyhard , comp-exec , rascal , 5.01 , 1561516 , 146108
asfsdfbenchmark , comp , scala , 16.93 , 5136 , 2800
asfsdfbenchmark , exec , scala , timed out after 2500
binarysearch , comp , scala , 11.52 , 5136 , 2904
binarysearch , exec , scala , failed with exit status 1
bubblesort , exec , scala , failed with exit status 1
closure , comp , scala , 12.72 , 5136 , 3048
closure , exec , scala , 0.90 , 1377508 , 42004
dart , comp , scala , 9.31 , 5136 , 2796
dart , exec , scala , failed with exit status 1
evalexpr , comp , scala , 12.12 , 5136 , 3044
evalexpr , exec , scala , failed with exit status 1
evalsym , comp , scala , 11.02 , 5136 , 2800
evalsym , exec , scala , 35.33 , 1376744 , 370064
evaltree , comp , scala , 9.81 , 5136 , 2904
evaltree , exec , scala , 5.71 , 1382476 , 416712
factorial6 , comp , scala , 6.71 , 5136 , 2976
factorial6 , exec , scala , failed with exit status 1
factorial7 , comp , scala , 6.41 , 5136 , 2864
factorial7 , exec , scala , failed with exit status 1
factorial8 , comp , scala , 6.91 , 5136 , 3044
factorial8 , exec , scala , failed with exit status 1
factorial9 , comp , scala , 6.92 , 5136 , 2904
factorial9 , exec , scala , failed with exit status 1
fib32 , comp , scala , 10.81 , 5136 , 2868
fib32 , exec , scala , failed with exit status 1
fibfree , comp , scala , 20.63 , 5136 , 2900
fibfree , exec , scala , 0.60 , 1376484 , 29192
fibonacci , comp , scala , 7.11 , 5136 , 2980
fibonacci , exec , scala , failed with exit status 1
garbagecollection , comp , scala , 7.81 , 5136 , 2976
garbagecollection , exec , scala , 0.60 , 1375236 , 29328
hanoi , comp , scala , 10.01 , 5136 , 2972
hanoi , exec , scala , 0.60 , 1375236 , 28716
langton , comp , scala , 197.70 , 5136 , 2800
langton , exec , scala , failed with exit status 1
logic3 , comp , scala , 7.51 , 5136 , 2900
logic3 , exec , scala , 0.60 , 1375236 , 27968
merge , comp , scala , 9.11 , 5136 , 2796
merge , exec , scala , 0.60 , 1375236 , 28112
mergesort , comp , scala , 9.11 , 5136 , 2968
mergesort , exec , scala , timed out after 2500
missionariescannibals , comp , scala , 12.22 , 5136 , 3048
